class,precision,recall,f1,support
A,1.0,1.0,1.0,26
B,0.9523809523809523,1.0,0.975609756097561,20
C,0.1810344827586207,1.0,0.30656934306569344,21
D,0.9459459459459459,1.0,0.9722222222222222,35
E,0.9411764705882353,0.6666666666666666,0.7804878048780488,24
F,0.9583333333333334,1.0,0.9787234042553191,23
G,1.0,0.8695652173913043,0.9302325581395349,23
H,1.0,0.9615384615384616,0.9803921568627451,26
I,1.0,1.0,1.0,21
J,1.0,1.0,1.0,29
K,0.84,0.9130434782608695,0.875,23
L,0.0,0.0,0.0,26
M,0.4878048780487805,0.9523809523809523,0.6451612903225806,21
N,0.875,0.25,0.3888888888888889,28
O,0.0,0.0,0.0,26
P,0.9375,0.75,0.8333333333333334,20
Q,0.8928571428571429,0.9615384615384616,0.9259259259259259,26
S,1.0,1.0,1.0,21
T,0.76,0.9047619047619048,0.8260869565217391,21
U,1.0,0.17391304347826086,0.2962962962962963,23
V,1.0,0.13793103448275862,0.24242424242424243,29
W,1.0,1.0,1.0,22
X,0.9,1.0,0.9473684210526315,27
Y,1.0,1.0,1.0,22
Z,1.0,1.0,1.0,17
